"Value Stream","Value Stream ID","Process ID","Core Process (Level 1)","Description (Level 1)","Executing Capabilities (L2 Execution)","Sub-Process ID","Sub-Process (Level 2)","Description (Level 2)","Trigger","Internal Actors","External Actors","Internal Systems","External Systems","Related Procedures"
"Accurate Land & Ownership Information Maintained","LTX-VS-01","LTX-P-01","Administer Property & Ownership Records","Executes the ongoing capture, maintenance, and correction of property, ownership, and party records to ensure the Land Tax register is accurate, authoritative, and fit for all downstream valuation and taxation activities.","Customer Identity & Relationship Management, 
Ownership Structure & Trust Management, 
Property Data Acquisition & Quality
Property Information Services","LTX-SP-01.01","Capture Land Transfer Details","Initiates changes to property ownership by capturing factual transfer information required to update authoritative ownership records.",,"[""BTO""]",,"[""eSys"",""CM10"",""Email""]",,
"Accurate Land & Ownership Information Maintained","LTX-VS-01","LTX-VS-01",,,,"LTX-SP-01.02","Establish Parties","Defines the legal persons (individuals, companies, trusts) necessary to create valid ownership and taxation relationships.",,,,,,
"Accurate Land & Ownership Information Maintained","LTX-VS-01","LTX-VS-01",,,,"LTX-SP-01.03","Establish Properties","Creates and maintains the property entity that underpins valuation, treatment, and assessment activities.",,,,,,
"Accurate Land & Ownership Information Maintained","LTX-VS-01","LTX-VS-01",,,,"LTX-SP-01.04","Establish Ownership Interests","Defines who owns what interest in a property, which is a prerequisite for valuation and liability determination.",,,,,,
"Accurate Land & Ownership Information Maintained","LTX-VS-01","LTX-VS-01",,,,"LTX-SP-01.05","Maintain Customer & Property Data Quality","Ensures ongoing accuracy and integrity of core records that support all downstream Land Tax processes.",,,,,,
"Authoritative Land Value Established","LTX-VS-02",,"Administer Land Valuations","Executes the determination and maintenance of statutory land values, including general, supplementary, and Commissioner’s valuations, ensuring that authoritative land values are established and kept current for Land Tax purposes.","Valuation Data Administration",,"Manage General Valuation","Establishes baseline land values through scheduled valuation cycles that apply broadly across properties.",,,,,,
"Authoritative Land Value Established","LTX-VS-02",,,,,,"Manage Supplementary Valuation","Applies event-driven valuation updates triggered by changes such as subdivision, consolidation, or corrected data.",,,,,,
"Authoritative Land Value Established","LTX-VS-02",,,,,,"Manage Occupancy Valuation","Determines valuation components based on land use or occupancy factors where required by legislation.",,,,,,
"Authoritative Land Value Established","LTX-VS-02",,,,,,"Manage Commissioner’s Valuation","Provides statutory valuations determined directly by the Commissioner where standard valuation pathways are insufficient.",,,,,,
"Correct Land Tax Rules Applied","LTX-VS-03",,"Administer Land Tax Treatment","Executes the application of Land Tax legislation to determine how land and owners are treated, including exemptions, concessions, groupings, and surcharge eligibility, prior to calculating any financial liability.","Exemption Management
Land Grouping Administration
Absentee Owner Tax Treatment
Build‑to‑Rent Registration",,"Manage Exemptions (PPR, PPL, Other)","Determines whether land is exempt from Land Tax based on legislative eligibility criteria.","If we decide to define level 3  a standradised process description is more approriate than BPM",,,,,
"Correct Land Tax Rules Applied","LTX-VS-03",,,,,,"Manage Concessions (e.g. Build-to-Rent)","Applies concessional treatment rules that alter how Land Tax legislation applies to eligible land.",,,,,,
"Correct Land Tax Rules Applied","LTX-VS-03",,,,,,"Manage Land Groupings","Determines whether properties or owners must be treated as a group for Land Tax purposes.",,,,,,
"Correct Land Tax Rules Applied","LTX-VS-03",,,,,,"Manage Absentee Owner Surcharge Eligibility","Determines whether absentee owner surcharge provisions apply before financial calculation occurs.",,,,,,
"Disputes, Corrections & Reviews Resolved","LTX-VS-07",,"Administer Objections, Amendments & Disputes","Executes the review and resolution of objections, disputes, and post‑assessment changes, including valuation objections, assessment objections, and amendments, to ensure Land Tax outcomes remain correct and defensible.","Valuation Dispute Resolution
Adjustment Management
Exemption Management
Case Management (Complex / Specialist)",,"Manage Valuation Objections","Handles formal challenges to determined land values without performing valuation itself.",,,,,,
"Disputes, Corrections & Reviews Resolved","LTX-VS-07",,,,,,"Manage Assessment Objections","Handles objections to issued Land Tax assessments after liability has been formalised.",,,,,,
"Disputes, Corrections & Reviews Resolved","LTX-VS-07",,,,,,"Review Exemption Decisions","Reviews prior exemption decisions where challenged or reassessed.",,,,,,
"Disputes, Corrections & Reviews Resolved","LTX-VS-07",,,,,,"Process Land Tax Amendments","Applies approved changes to assessments arising from objections or corrected information.",,,,,,
