PolicyClauseID,Act,VersionAsAt,Part,Division,Section,ClausePath,ClauseType,ConditionText,ConditionType,EnforcementPattern,Status,SourceURL,Notes
LTA2005-s10,Land Tax Act 2005,(use authorised version date),,,s10,s10,section,SEED (section-level): Decompose this section into clause-level subsections/paragraphs.,,,In force (verify version),,Land Tax Act SharePoint PDF is image-based; clause extraction requires authorised text source.
LTA2005-s21,Land Tax Act 2005,(use authorised version date),,,s21,s21,section,SEED (section-level): Decompose this section into clause-level subsections/paragraphs.,,,In force (verify version),,Land Tax Act SharePoint PDF is image-based; clause extraction requires authorised text source.
LTA2005-s22,Land Tax Act 2005,(use authorised version date),,,s22,s22,section,SEED (section-level): Decompose this section into clause-level subsections/paragraphs.,,,In force (verify version),,Land Tax Act SharePoint PDF is image-based; clause extraction requires authorised text source.
LTA2005-s36,Land Tax Act 2005,(use authorised version date),,,s36,s36,section,SEED (section-level): Decompose this section into clause-level subsections/paragraphs.,,,In force (verify version),,Land Tax Act SharePoint PDF is image-based; clause extraction requires authorised text source.
LTA2005-s38,Land Tax Act 2005,(use authorised version date),,,s38,s38,section,SEED (section-level): Decompose this section into clause-level subsections/paragraphs.,,,In force (verify version),,Land Tax Act SharePoint PDF is image-based; clause extraction requires authorised text source.
LTA2005-s40,Land Tax Act 2005,(use authorised version date),,,s40,s40,section,SEED (section-level): Decompose this section into clause-level subsections/paragraphs.,,,In force (verify version),,Land Tax Act SharePoint PDF is image-based; clause extraction requires authorised text source.
LTA2005-s46A–46M,Land Tax Act 2005,(use authorised version date),,,s46A–46M,s46A–46M,section,SEED (section-level): Decompose this section into clause-level subsections/paragraphs.,,,In force (verify version),,Land Tax Act SharePoint PDF is image-based; clause extraction requires authorised text source.
LTA2005-s8,Land Tax Act 2005,(use authorised version date),,,s8,s8,section,SEED (section-level): Decompose this section into clause-level subsections/paragraphs.,,,In force (verify version),,Land Tax Act SharePoint PDF is image-based; clause extraction requires authorised text source.
TAA1997-s100A,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s100A,s100A,section,,,,In force (verify version),,
TAA1997-s101,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s101,s101,section,,,,In force (verify version),,
TAA1997-s106,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s106,s106,section,,,,In force (verify version),,
TAA1997-s11,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s11,s11,section,,,,In force (verify version),,
TAA1997-s127,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s127,s127,section,,,,In force (verify version),,
TAA1997-s128,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s128,s128,section,,,,In force (verify version),,
TAA1997-s14,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s14,s14,section,,,,In force (verify version),,
TAA1997-s14A,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s14A,s14A,section,,,,In force (verify version),,
TAA1997-s15,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s15,s15,section,,,,In force (verify version),,
TAA1997-s20A,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s20A,s20A,section,,,,In force (verify version),,
TAA1997-s44,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s44,s44,section,,,,In force (verify version),,
TAA1997-s45,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s45,s45,section,,,,In force (verify version),,
TAA1997-s49,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s49,s49,section,,,,In force (verify version),,
TAA1997-s63,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s63,s63,section,,,,In force (verify version),,
TAA1997-s72,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s72,s72,section,,,,In force (verify version),,
TAA1997-s8,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s8,s8,section,,,,In force (verify version),,
TAA1997-s9,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s9,s9,section,,,,In force (verify version),,
TAA1997-s96,Taxation Administration Act 1997,(use SharePoint version / authorised date),,,s96,s96,section,,,,In force (verify version),,
