ValueStreamID,ValueStreamName,ValueStageID,ValueStageName,ValueStageDescription,ValueStagePolicyBasis,L2CapabilityID,L2CapabilityName,L2CapabilityDescription,L3CapabilityID,L3CapabilityName,L3CapabilityDescription,L3PolicyReference
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-01,Taxable Land Maintenance,Maintain records of land that is subject to Land Tax.,Land Tax Act 2005 — s19 (Taxable value of land)
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-02,Subdivisions / Consolidations,Manage changes to land parcels resulting from subdivision or consolidation.,Land Tax Act 2005 — s22 (Taxable value of parts of land not separately valued)
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-03,Title to Property Relationship,Maintain the relationship between legal land titles and property records.,"Land Tax Act 2005 — s8, s10"
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-04,Ownership Maintenance,Maintain ownership details and ownership changes over time.,"Land Tax Act 2005 — s8, s10"
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-05,Joint Ownership,Manage land owned by more than one party.,Land Tax Act 2005 — s38 (Assessment of joint owners)
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-06,Land Held on Trust,Manage land ownership where land is held under trust arrangements.,Land Tax Act 2005 — ss46A–46M
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-07,Unknown Customer,Manage land or ownership records where the liable party is not yet identified.,Taxation Administration Act 1997 — s11
VS-LTX,Land Tax,LTX-VS2,Determine How Land Is Taxed,Determine the correct Land Tax treatment for land based on ownership structure and circumstances.,"The Land Tax Act 2005 prescribes different tax treatments depending on ownership structure and legal context, including trusts, joint ownership, grouping, absentee ownership, exemptions, and surcharges. The State must determine how land is taxed before liability can be assessed.",LTX-L2-PO,Property & Ownership Management (Land Tax),Interpret ownership context to support correct tax treatment.,LTX-L3-TX-01,Ownership Maintenance,Interpret ownership details to support tax treatment decisions.,"Land Tax Act 2005 — s8, s10"
VS-LTX,Land Tax,LTX-VS2,Determine How Land Is Taxed,Determine the correct Land Tax treatment for land based on ownership structure and circumstances.,"The Land Tax Act 2005 prescribes different tax treatments depending on ownership structure and legal context, including trusts, joint ownership, grouping, absentee ownership, exemptions, and surcharges. The State must determine how land is taxed before liability can be assessed.",LTX-L2-PO,Property & Ownership Management (Land Tax),Interpret ownership context to support correct tax treatment.,LTX-L3-TX-02,Joint Ownership,Determine tax treatment for land owned jointly.,"Land Tax Act 2005 — s38, s40"
VS-LTX,Land Tax,LTX-VS2,Determine How Land Is Taxed,Determine the correct Land Tax treatment for land based on ownership structure and circumstances.,"The Land Tax Act 2005 prescribes different tax treatments depending on ownership structure and legal context, including trusts, joint ownership, grouping, absentee ownership, exemptions, and surcharges. The State must determine how land is taxed before liability can be assessed.",LTX-L2-PO,Property & Ownership Management (Land Tax),Interpret ownership context to support correct tax treatment.,LTX-L3-TX-03,Land Held on Trust,Determine tax treatment for land held under trust arrangements.,Land Tax Act 2005 — ss46A–46M
VS-LTX,Land Tax,LTX-VS2,Determine How Land Is Taxed,Determine the correct Land Tax treatment for land based on ownership structure and circumstances.,"The Land Tax Act 2005 prescribes different tax treatments depending on ownership structure and legal context, including trusts, joint ownership, grouping, absentee ownership, exemptions, and surcharges. The State must determine how land is taxed before liability can be assessed.",LTX-L2-AS,Land Tax Assessment & Determination,Determine whether land is taxable and how Land Tax liability applies.,LTX-L3-AS-01,Determine Land Tax Liability,Determine whether Land Tax applies and how liability is calculated.,Taxation Administration Act 1997 — s8
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-01,Valuations Maintenance,Maintain valuation data used for Land Tax assessment.,Land Tax Act 2005 — s21
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-02,General Valuations,Apply standard valuation data for annual assessments.,Land Tax Act 2005 — s21; Part 1 definitions
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-03,Supplementary Valuations,Apply updated valuations when land circumstances change.,Land Tax Act 2005 — s21
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-04,SRO Requested Valuations,Manage valuations requested to support assessment decisions.,Land Tax Act 2005 — s21
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-05,Single Valuation for Multiple Properties,Apply a single valuation across related properties where appropriate.,Land Tax Act 2005 — s36
