Title,ValueStageName,ValueStageID,ValueStageDescription,CapabilityName,CapabilityID,CapabilityDescription,CapabilityMaturityLevel,Priority
Address Validation Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Address Validation Management,COM-07-L2-01,Validating addresses against authoritative sources such as GNAF to ensure they are accurate and deliverable.,High,
Customer Creation Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Customer Creation Management,COM-04-L2-01,,High,
Customer Digital Onboarding Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Customer Digital Onboarding Management,COM-04-L2-05,"Customer Digital Onboarding Management is the capability to enable a customer to establish a verified, digital relationship with the SRO through self‑service channels. It supports customer‑initiated registration, identity verification, record matching, de",Low,
Customer Digital Onboarding Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Customer Digital Onboarding Management,COM-04-L2-06,"Customer Digital Onboarding Management is the capability to enable a customer to establish a verified, digital relationship with the SRO through self‑service channels. It supports customer‑initiated registration, identity verification, record matching, de",Low,
Customer Digital Onboarding Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Customer Digital Onboarding Management,COM-04-L2-07,"Customer Digital Onboarding Management is the capability to enable a customer to establish a verified, digital relationship with the SRO through self‑service channels. It supports customer‑initiated registration, identity verification, record matching, de",Low,
Customer Digital Onboarding Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Customer Digital Onboarding Management,COM-04-L2-08,"Customer Digital Onboarding Management is the capability to enable a customer to establish a verified, digital relationship with the SRO through self‑service channels. It supports customer‑initiated registration, identity verification, record matching, de",Low,
Customer Digital Onboarding Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Customer Digital Onboarding Management,COM-04-L2-09,"Customer Digital Onboarding Management is the capability to enable a customer to establish a verified, digital relationship with the SRO through self‑service channels. It supports customer‑initiated registration, identity verification, record matching, de",Low,
Customer Identification Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Customer Identification Management,COM-04-L2-02,,High,
Customer Identification Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Customer Identification Management,COM-04-L2-04,"Customer Identification Management is the capability to uniquely identify, distinguish, and reference customers by collecting, matching, validating, and managing identifying information across internal and external data sources.",Low,
Duplicate Customer Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Duplicate Customer Management,COM-04-L2-03,,High,
